"","sex","age","entity","year_month","head_count"
"1","Male","Under25years","Carlow County","2002M03","248"
"2","Male","Under25years","Cavan County","2002M03","211"
"3","Male","Under25years","Clare County","2002M03","399"
"4","Male","Under25years","Cork County","2002M03","1937"
"5","Male","Under25years","Donegal County","2002M03","1182"
"6","Male","Under25years","Dublin County","2002M03","4861"
"7","Male","Under25years","Galway County","2002M03","1026"
"8","Male","Under25years","Kerry County","2002M03","549"
"9","Male","Under25years","Kildare County","2002M03","492"
"10","Male","Under25years","Kilkenny County","2002M03","296"
"11","Male","Under25years","Laoighis County","2002M03","257"
"12","Male","Under25years","Leitrim County","2002M03","88"
"13","Male","Under25years","Limerick County","2002M03","896"
"14","Male","Under25years","Longford County","2002M03","201"
"15","Male","Under25years","Louth County","2002M03","990"
"16","Male","Under25years","Mayo County","2002M03","571"
"17","Male","Under25years","Meath County","2002M03","300"
"18","Male","Under25years","Monaghan County","2002M03","328"
"19","Male","Under25years","North Tipperary","2002M03","247"
"20","Male","Under25years","Offaly County","2002M03","270"
"21","Male","Under25years","Roscommon County","2002M03","114"
"22","Male","Under25years","Sligo County","2002M03","289"
"23","Male","Under25years","South Tipperary","2002M03","468"
"24","Male","Under25years","Waterford County","2002M03","671"
"25","Male","Under25years","Westmeath County","2002M03","347"
"26","Male","Under25years","Wexford County","2002M03","756"
"27","Male","Under25years","Wicklow County","2002M03","467"
"28","Male","25yearsandover","Carlow County","2002M03","989"
"29","Male","25yearsandover","Cavan County","2002M03","1001"
"30","Male","25yearsandover","Clare County","2002M03","1720"
"31","Male","25yearsandover","Cork County","2002M03","8827"
"32","Male","25yearsandover","Donegal County","2002M03","5014"
"33","Male","25yearsandover","Dublin County","2002M03","20005"
"34","Male","25yearsandover","Galway County","2002M03","4377"
"35","Male","25yearsandover","Kerry County","2002M03","2992"
"36","Male","25yearsandover","Kildare County","2002M03","1947"
"37","Male","25yearsandover","Kilkenny County","2002M03","1141"
"38","Male","25yearsandover","Laoighis County","2002M03","901"
"39","Male","25yearsandover","Leitrim County","2002M03","567"
"40","Male","25yearsandover","Limerick County","2002M03","3708"
"41","Male","25yearsandover","Longford County","2002M03","830"
"42","Male","25yearsandover","Louth County","2002M03","3621"
"43","Male","25yearsandover","Mayo County","2002M03","3313"
"44","Male","25yearsandover","Meath County","2002M03","1428"
"45","Male","25yearsandover","Monaghan County","2002M03","1332"
"46","Male","25yearsandover","North Tipperary","2002M03","1019"
"47","Male","25yearsandover","Offaly County","2002M03","1158"
"48","Male","25yearsandover","Roscommon County","2002M03","817"
"49","Male","25yearsandover","Sligo County","2002M03","1156"
"50","Male","25yearsandover","South Tipperary","2002M03","1750"
"51","Male","25yearsandover","Waterford County","2002M03","2679"
"52","Male","25yearsandover","Westmeath County","2002M03","1480"
"53","Male","25yearsandover","Wexford County","2002M03","2994"
"54","Male","25yearsandover","Wicklow County","2002M03","1956"
"55","Female","Under25years","Carlow County","2002M03","207"
"56","Female","Under25years","Cavan County","2002M03","136"
"57","Female","Under25years","Clare County","2002M03","248"
"58","Female","Under25years","Cork County","2002M03","1248"
"59","Female","Under25years","Donegal County","2002M03","928"
